Year;Value;Country;Region;Income group
2008;4,1;Argentina;Latin America & Caribbean;High income
2009;4,1;Argentina;Latin America & Caribbean;High income
2010;4;Argentina;Latin America & Caribbean;High income
2011;3,9;Argentina;Latin America & Caribbean;High income
2012;3,7;Argentina;Latin America & Caribbean;High income
2013;3,6;Argentina;Latin America & Caribbean;High income
2014;3,4;Argentina;Latin America & Caribbean;High income
2015;3,6;Argentina;Latin America & Caribbean;High income
2000;23,8;Armenia;Europe & Central Asia;Upper middle income
2001;23,6;Armenia;Europe & Central Asia;Upper middle income
2002;20,8;Armenia;Europe & Central Asia;Upper middle income
2003;15,7;Armenia;Europe & Central Asia;Upper middle income
2004;11,1;Armenia;Europe & Central Asia;Upper middle income
2005;8;Armenia;Europe & Central Asia;Upper middle income
2006;6,3;Armenia;Europe & Central Asia;Upper middle income
2007;5,5;Armenia;Europe & Central Asia;Upper middle income
2008;5,2;Armenia;Europe & Central Asia;Upper middle income
2009;5,5;Armenia;Europe & Central Asia;Upper middle income
2010;5,8;Armenia;Europe & Central Asia;Upper middle income
2011;5,7;Armenia;Europe & Central Asia;Upper middle income
2012;5,2;Armenia;Europe & Central Asia;Upper middle income
2013;4,6;Armenia;Europe & Central Asia;Upper middle income
2014;4,2;Armenia;Europe & Central Asia;Upper middle income
2015;4,4;Armenia;Europe & Central Asia;Upper middle income
2000;2,5;Australia;East Asia & Pacific;High income
2001;2,5;Australia;East Asia & Pacific;High income
2002;2,5;Australia;East Asia & Pacific;High income
2003;2,5;Australia;East Asia & Pacific;High income
2004;2,5;Australia;East Asia & Pacific;High income
2005;2,5;Australia;East Asia & Pacific;High income
2006;2,5;Australia;East Asia & Pacific;High income
2007;2,5;Australia;East Asia & Pacific;High income
2008;2,5;Australia;East Asia & Pacific;High income
2009;2,5;Australia;East Asia & Pacific;High income
2010;2,5;Australia;East Asia & Pacific;High income
2011;2,5;Australia;East Asia & Pacific;High income
2012;2,5;Australia;East Asia & Pacific;High income
2013;2,5;Australia;East Asia & Pacific;High income
2014;2,5;Australia;East Asia & Pacific;High income
2015;2,5;Australia;East Asia & Pacific;High income
2000;2,5;Austria;Europe & Central Asia;High income
2001;2,5;Austria;Europe & Central Asia;High income
2002;2,5;Austria;Europe & Central Asia;High income
2003;2,5;Austria;Europe & Central Asia;High income
2004;2,5;Austria;Europe & Central Asia;High income
2005;2,5;Austria;Europe & Central Asia;High income
2006;2,5;Austria;Europe & Central Asia;High income
2007;2,5;Austria;Europe & Central Asia;High income
2008;2,5;Austria;Europe & Central Asia;High income
2009;2,5;Austria;Europe & Central Asia;High income
2010;2,5;Austria;Europe & Central Asia;High income
2011;2,5;Austria;Europe & Central Asia;High income
2012;2,5;Austria;Europe & Central Asia;High income
2013;2,5;Austria;Europe & Central Asia;High income
2014;2,5;Austria;Europe & Central Asia;High income
2015;2,5;Austria;Europe & Central Asia;High income
2000;23,2;Azerbaijan;Europe & Central Asia;Upper middle income
2001;18,8;Azerbaijan;Europe & Central Asia;Upper middle income
2002;15;Azerbaijan;Europe & Central Asia;Upper middle income
2003;11,6;Azerbaijan;Europe & Central Asia;Upper middle income
2004;8,4;Azerbaijan;Europe & Central Asia;Upper middle income
2005;5,7;Azerbaijan;Europe & Central Asia;Upper middle income
2006;3,8;Azerbaijan;Europe & Central Asia;Upper middle income
2007;2,9;Azerbaijan;Europe & Central Asia;Upper middle income
2008;2,6;Azerbaijan;Europe & Central Asia;Upper middle income
2009;2,6;Azerbaijan;Europe & Central Asia;Upper middle income
2010;2,5;Azerbaijan;Europe & Central Asia;Upper middle income
2011;2,5;Azerbaijan;Europe & Central Asia;Upper middle income
2012;2,5;Azerbaijan;Europe & Central Asia;Upper middle income
2013;2,5;Azerbaijan;Europe & Central Asia;Upper middle income
2014;2,5;Azerbaijan;Europe & Central Asia;Upper middle income
2015;2,5;Azerbaijan;Europe & Central Asia;Upper middle income
2000;6,9;Bahamas, The;Latin America & Caribbean;High income
2001;6,8;Bahamas, The;Latin America & Caribbean;High income
2002;7,5;Bahamas, The;Latin America & Caribbean;High income
2003;8,3;Bahamas, The;Latin America & Caribbean;High income
2004;9,2;Bahamas, The;Latin America & Caribbean;High income
2005;10;Bahamas, The;Latin America & Caribbean;High income
2006;10,8;Bahamas, The;Latin America & Caribbean;High income
2007;11,4;Bahamas, The;Latin America & Caribbean;High income
2008;11,9;Bahamas, The;Latin America & Caribbean;High income
2009;12,2;Bahamas, The;Latin America & Caribbean;High income
2010;12,3;Bahamas, The;Latin America & Caribbean;High income
2011;11,9;Bahamas, The;Latin America & Caribbean;High income
2012;11,2;Bahamas, The;Latin America & Caribbean;High income
2013;10,7;Bahamas, The;Latin America & Caribbean;High income
2014;10,3;Bahamas, The;Latin America & Caribbean;High income
2015;10;Bahamas, The;Latin America & Caribbean;High income
2000;20,8;Bangladesh;South Asia;Lower middle income
2001;18,7;Bangladesh;South Asia;Lower middle income
2002;18,2;Bangladesh;South Asia;Lower middle income
2003;17,5;Bangladesh;South Asia;Lower middle income
2004;17,1;Bangladesh;South Asia;Lower middle income
2005;16,6;Bangladesh;South Asia;Lower middle income
2006;16,3;Bangladesh;South Asia;Lower middle income
2007;16,3;Bangladesh;South Asia;Lower middle income
2008;16,4;Bangladesh;South Asia;Lower middle income
2009;16,6;Bangladesh;South Asia;Lower middle income
2010;16,9;Bangladesh;South Asia;Lower middle income
2011;16,9;Bangladesh;South Asia;Lower middle income
2012;16,8;Bangladesh;South Asia;Lower middle income
2013;16,4;Bangladesh;South Asia;Lower middle income
2014;16;Bangladesh;South Asia;Lower middle income
2015;15,1;Bangladesh;South Asia;Lower middle income
2000;5,4;Barbados;Latin America & Caribbean;High income
2001;5,8;Barbados;Latin America & Caribbean;High income
2002;6,3;Barbados;Latin America & Caribbean;High income
2003;6,3;Barbados;Latin America & Caribbean;High income
2004;6,3;Barbados;Latin America & Caribbean;High income
2005;5,9;Barbados;Latin America & Caribbean;High income
2006;5,6;Barbados;Latin America & Caribbean;High income
2007;5,3;Barbados;Latin America & Caribbean;High income
2008;5,1;Barbados;Latin America & Caribbean;High income
2009;5;Barbados;Latin America & Caribbean;High income
2010;5;Barbados;Latin America & Caribbean;High income
2011;4,9;Barbados;Latin America & Caribbean;High income
2012;4,8;Barbados;Latin America & Caribbean;High income
2013;4,6;Barbados;Latin America & Caribbean;High income
2014;4,5;Barbados;Latin America & Caribbean;High income
2015;4,4;Barbados;Latin America & Caribbean;High income
2000;2,5;Belarus;Europe & Central Asia;Upper middle income
2001;2,5;Belarus;Europe & Central Asia;Upper middle income
2002;3,2;Belarus;Europe & Central Asia;Upper middle income
2003;3,7;Belarus;Europe & Central Asia;Upper middle income
2004;3,6;Belarus;Europe & Central Asia;Upper middle income
2005;3;Belarus;Europe & Central Asia;Upper middle income
2006;2,5;Belarus;Europe & Central Asia;Upper middle income
2007;2,5;Belarus;Europe & Central Asia;Upper middle income
2008;2,5;Belarus;Europe & Central Asia;Upper middle income
2009;2,5;Belarus;Europe & Central Asia;Upper middle income
2010;2,5;Belarus;Europe & Central Asia;Upper middle income
2011;2,5;Belarus;Europe & Central Asia;Upper middle income
2012;2,5;Belarus;Europe & Central Asia;Upper middle income
2013;2,5;Belarus;Europe & Central Asia;Upper middle income
2014;2,5;Belarus;Europe & Central Asia;Upper middle income
2015;2,5;Belarus;Europe & Central Asia;Upper middle income
2000;2,5;Belgium;Europe & Central Asia;High income
2001;2,5;Belgium;Europe & Central Asia;High income
2002;2,5;Belgium;Europe & Central Asia;High income
2003;2,5;Belgium;Europe & Central Asia;High income
2004;2,5;Belgium;Europe & Central Asia;High income
2005;2,5;Belgium;Europe & Central Asia;High income
2006;2,5;Belgium;Europe & Central Asia;High income
2007;2,5;Belgium;Europe & Central Asia;High income
2008;2,5;Belgium;Europe & Central Asia;High income
2009;2,5;Belgium;Europe & Central Asia;High income
2010;2,5;Belgium;Europe & Central Asia;High income
2011;2,5;Belgium;Europe & Central Asia;High income
2012;2,5;Belgium;Europe & Central Asia;High income
2013;2,5;Belgium;Europe & Central Asia;High income
2014;2,5;Belgium;Europe & Central Asia;High income
2015;2,5;Belgium;Europe & Central Asia;High income
2000;5,8;Belize;Latin America & Caribbean;Upper middle income
2001;5;Belize;Latin America & Caribbean;Upper middle income
2002;4,7;Belize;Latin America & Caribbean;Upper middle income
2003;4,5;Belize;Latin America & Caribbean;Upper middle income
2004;4,6;Belize;Latin America & Caribbean;Upper middle income
2005;4,6;Belize;Latin America & Caribbean;Upper middle income
2006;4,9;Belize;Latin America & Caribbean;Upper middle income
2007;5,3;Belize;Latin America & Caribbean;Upper middle income
2008;5,5;Belize;Latin America & Caribbean;Upper middle income
2009;5,6;Belize;Latin America & Caribbean;Upper middle income
2010;5,6;Belize;Latin America & Caribbean;Upper middle income
2011;5,8;Belize;Latin America & Caribbean;Upper middle income
2012;6,2;Belize;Latin America & Caribbean;Upper middle income
2013;6,3;Belize;Latin America & Caribbean;Upper middle income
2014;6,3;Belize;Latin America & Caribbean;Upper middle income
2015;6,2;Belize;Latin America & Caribbean;Upper middle income
2000;22,6;Benin;Sub-Saharan Africa;Low income
2001;20,5;Benin;Sub-Saharan Africa;Low income
2002;18,6;Benin;Sub-Saharan Africa;Low income
2003;17,3;Benin;Sub-Saharan Africa;Low income
2004;16,3;Benin;Sub-Saharan Africa;Low income
2005;15,4;Benin;Sub-Saharan Africa;Low income
2006;14,4;Benin;Sub-Saharan Africa;Low income
2007;13,4;Benin;Sub-Saharan Africa;Low income
2008;12,8;Benin;Sub-Saharan Africa;Low income
2009;12,4;Benin;Sub-Saharan Africa;Low income
2010;12,1;Benin;Sub-Saharan Africa;Low income
2011;11,7;Benin;Sub-Saharan Africa;Low income
2012;11,3;Benin;Sub-Saharan Africa;Low income
2013;10,8;Benin;Sub-Saharan Africa;Low income
2014;10;Benin;Sub-Saharan Africa;Low income
2015;10,3;Benin;Sub-Saharan Africa;Low income
2000;12,3;Bermuda;North America;High income
2001;13,7;Bermuda;North America;High income
2002;15,3;Bermuda;North America;High income
2003;17;Bermuda;North America;High income
2004;17,5;Bermuda;North America;High income
2005;16,6;Bermuda;North America;High income
2006;14,8;Bermuda;North America;High income
2007;13;Bermuda;North America;High income
2008;11,7;Bermuda;North America;High income
2009;11,3;Bermuda;North America;High income
2010;11,7;Bermuda;North America;High income
2011;12,2;Bermuda;North America;High income
2012;12,5;Bermuda;North America;High income
2013;12,6;Bermuda;North America;High income
2014;12,5;Bermuda;North America;High income
2015;12,8;Bermuda;North America;High income
2000;33,4;Bolivia;Latin America & Caribbean;Lower middle income
2001;31,6;Bolivia;Latin America & Caribbean;Lower middle income
2002;31,2;Bolivia;Latin America & Caribbean;Lower middle income
2003;31,4;Bolivia;Latin America & Caribbean;Lower middle income
2004;31,4;Bolivia;Latin America & Caribbean;Lower middle income
2005;30,3;Bolivia;Latin America & Caribbean;Lower middle income
2006;28,7;Bolivia;Latin America & Caribbean;Lower middle income
2007;28;Bolivia;Latin America & Caribbean;Lower middle income
2008;28,1;Bolivia;Latin America & Caribbean;Lower middle income
2009;28;Bolivia;Latin America & Caribbean;Lower middle income
2010;26,5;Bolivia;Latin America & Caribbean;Lower middle income
2011;24,6;Bolivia;Latin America & Caribbean;Lower middle income
2012;23,1;Bolivia;Latin America & Caribbean;Lower middle income
2013;21,9;Bolivia;Latin America & Caribbean;Lower middle income
2014;20,8;Bolivia;Latin America & Caribbean;Lower middle income
2015;20,2;Bolivia;Latin America & Caribbean;Lower middle income
2000;4,7;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2001;5;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2002;4,8;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2003;4,4;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2004;3,7;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2005;3,4;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2006;3,1;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2007;3;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2008;2,8;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2009;2,6;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2010;2,5;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2011;2,5;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2012;2,5;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2013;2,5;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2014;2,5;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2015;2,5;Bosnia and Herzegovina;Europe & Central Asia;Upper middle income
2000;35,6;Botswana;Sub-Saharan Africa;Upper middle income
2001;35;Botswana;Sub-Saharan Africa;Upper middle income
2002;34,7;Botswana;Sub-Saharan Africa;Upper middle income
2003;33,5;Botswana;Sub-Saharan Africa;Upper middle income
2004;32,5;Botswana;Sub-Saharan Africa;Upper middle income
2005;32;Botswana;Sub-Saharan Africa;Upper middle income
2006;32,3;Botswana;Sub-Saharan Africa;Upper middle income
2007;32,5;Botswana;Sub-Saharan Africa;Upper middle income
2008;31,9;Botswana;Sub-Saharan Africa;Upper middle income
2009;30,5;Botswana;Sub-Saharan Africa;Upper middle income
2010;28,6;Botswana;Sub-Saharan Africa;Upper middle income
2011;26,6;Botswana;Sub-Saharan Africa;Upper middle income
2012;25,1;Botswana;Sub-Saharan Africa;Upper middle income
2013;24,6;Botswana;Sub-Saharan Africa;Upper middle income
2014;24,6;Botswana;Sub-Saharan Africa;Upper middle income
2015;26;Botswana;Sub-Saharan Africa;Upper middle income
2000;12;Brazil;Latin America & Caribbean;Upper middle income
2001;10,6;Brazil;Latin America & Caribbean;Upper middle income
2002;8,7;Brazil;Latin America & Caribbean;Upper middle income
2003;6,9;Brazil;Latin America & Caribbean;Upper middle income
2004;5,5;Brazil;Latin America & Caribbean;Upper middle income
2005;4,5;Brazil;Latin America & Caribbean;Upper middle income
2006;3,8;Brazil;Latin America & Caribbean;Upper middle income
2007;3,1;Brazil;Latin America & Caribbean;Upper middle income
2008;2,6;Brazil;Latin America & Caribbean;Upper middle income
2009;2,5;Brazil;Latin America & Caribbean;Upper middle income
2010;2,5;Brazil;Latin America & Caribbean;Upper middle income
2011;2,5;Brazil;Latin America & Caribbean;Upper middle income
2012;2,5;Brazil;Latin America & Caribbean;Upper middle income
2013;2,5;Brazil;Latin America & Caribbean;Upper middle income
2014;2,5;Brazil;Latin America & Caribbean;Upper middle income
2015;2,5;Brazil;Latin America & Caribbean;Upper middle income
2000;3,1;Brunei Darussalam;East Asia & Pacific;High income
2001;2,8;Brunei Darussalam;East Asia & Pacific;High income
2002;2,5;Brunei Darussalam;East Asia & Pacific;High income
2003;2,5;Brunei Darussalam;East Asia & Pacific;High income
2004;2,5;Brunei Darussalam;East Asia & Pacific;High income
2005;2,5;Brunei Darussalam;East Asia & Pacific;High income
2006;2,5;Brunei Darussalam;East Asia & Pacific;High income
2007;2,7;Brunei Darussalam;East Asia & Pacific;High income
2008;3;Brunei Darussalam;East Asia & Pacific;High income
2009;3,2;Brunei Darussalam;East Asia & Pacific;High income
2010;3,2;Brunei Darussalam;East Asia & Pacific;High income
2011;3;Brunei Darussalam;East Asia & Pacific;High income
2012;2,8;Brunei Darussalam;East Asia & Pacific;High income
2013;2,6;Brunei Darussalam;East Asia & Pacific;High income
2014;2,5;Brunei Darussalam;East Asia & Pacific;High income
2015;2,5;Brunei Darussalam;East Asia & Pacific;High income
2000;4,8;Bulgaria;Europe & Central Asia;Upper middle income
2001;5,1;Bulgaria;Europe & Central Asia;Upper middle income
2002;5,6;Bulgaria;Europe & Central Asia;Upper middle income
2003;6;Bulgaria;Europe & Central Asia;Upper middle income
2004;6,3;Bulgaria;Europe & Central Asia;Upper middle income
2005;6,5;Bulgaria;Europe & Central Asia;Upper middle income
2006;6,4;Bulgaria;Europe & Central Asia;Upper middle income
2007;6,2;Bulgaria;Europe & Central Asia;Upper middle income
2008;5,8;Bulgaria;Europe & Central Asia;Upper middle income
2009;5,7;Bulgaria;Europe & Central Asia;Upper middle income
2010;5,6;Bulgaria;Europe & Central Asia;Upper middle income
2011;5,4;Bulgaria;Europe & Central Asia;Upper middle income
2012;5;Bulgaria;Europe & Central Asia;Upper middle income
2013;4,4;Bulgaria;Europe & Central Asia;Upper middle income
2014;3,8;Bulgaria;Europe & Central Asia;Upper middle income
2015;3,4;Bulgaria;Europe & Central Asia;Upper middle income
2000;25,4;Burkina Faso;Sub-Saharan Africa;Low income
2001;25,6;Burkina Faso;Sub-Saharan Africa;Low income
2002;25,8;Burkina Faso;Sub-Saharan Africa;Low income
2003;25,6;Burkina Faso;Sub-Saharan Africa;Low income
2004;25,3;Burkina Faso;Sub-Saharan Africa;Low income
2005;24,9;Burkina Faso;Sub-Saharan Africa;Low income
2006;24,2;Burkina Faso;Sub-Saharan Africa;Low income
2007;23,5;Burkina Faso;Sub-Saharan Africa;Low income
2008;22,6;Burkina Faso;Sub-Saharan Africa;Low income
2009;21,9;Burkina Faso;Sub-Saharan Africa;Low income
2010;21,2;Burkina Faso;Sub-Saharan Africa;Low income
2011;20,7;Burkina Faso;Sub-Saharan Africa;Low income
2012;20,2;Burkina Faso;Sub-Saharan Africa;Low income
2013;19,9;Burkina Faso;Sub-Saharan Africa;Low income
2014;19,1;Burkina Faso;Sub-Saharan Africa;Low income
2015;20,2;Burkina Faso;Sub-Saharan Africa;Low income
2000;17,8;Cabo Verde;Sub-Saharan Africa;Lower middle income
2001;17,9;Cabo Verde;Sub-Saharan Africa;Lower middle income
2002;17,6;Cabo Verde;Sub-Saharan Africa;Lower middle income
2003;16,6;Cabo Verde;Sub-Saharan Africa;Lower middle income
2004;15,2;Cabo Verde;Sub-Saharan Africa;Lower middle income
2005;14,4;Cabo Verde;Sub-Saharan Africa;Lower middle income
2006;14,3;Cabo Verde;Sub-Saharan Africa;Lower middle income
2007;14,5;Cabo Verde;Sub-Saharan Africa;Lower middle income
2008;15;Cabo Verde;Sub-Saharan Africa;Lower middle income
2009;15,5;Cabo Verde;Sub-Saharan Africa;Lower middle income
2010;15,8;Cabo Verde;Sub-Saharan Africa;Lower middle income
2011;15,5;Cabo Verde;Sub-Saharan Africa;Lower middle income
2012;15,1;Cabo Verde;Sub-Saharan Africa;Lower middle income
2013;14,6;Cabo Verde;Sub-Saharan Africa;Lower middle income
2014;14,1;Cabo Verde;Sub-Saharan Africa;Lower middle income
2015;13,7;Cabo Verde;Sub-Saharan Africa;Lower middle income
2000;29,2;Cambodia;East Asia & Pacific;Lower middle income
2001;25,9;Cambodia;East Asia & Pacific;Lower middle income
2002;23,3;Cambodia;East Asia & Pacific;Lower middle income
2003;21,8;Cambodia;East Asia & Pacific;Lower middle income
2004;20,8;Cambodia;East Asia & Pacific;Lower middle income
2005;20;Cambodia;East Asia & Pacific;Lower middle income
2006;19,2;Cambodia;East Asia & Pacific;Lower middle income
2007;18,8;Cambodia;East Asia & Pacific;Lower middle income
2008;18,7;Cambodia;East Asia & Pacific;Lower middle income
2009;18,8;Cambodia;East Asia & Pacific;Lower middle income
2010;18,8;Cambodia;East Asia & Pacific;Lower middle income
2011;18,6;Cambodia;East Asia & Pacific;Lower middle income
2012;18;Cambodia;East Asia & Pacific;Lower middle income
2013;17,1;Cambodia;East Asia & Pacific;Lower middle income
2014;16,1;Cambodia;East Asia & Pacific;Lower middle income
2015;15,3;Cambodia;East Asia & Pacific;Lower middle income
2000;30,6;Cameroon;Sub-Saharan Africa;Lower middle income
2001;28,3;Cameroon;Sub-Saharan Africa;Lower middle income
2002;26,3;Cameroon;Sub-Saharan Africa;Lower middle income
2003;24,2;Cameroon;Sub-Saharan Africa;Lower middle income
2004;22,3;Cameroon;Sub-Saharan Africa;Lower middle income
2005;20,2;Cameroon;Sub-Saharan Africa;Lower middle income
2006;18,2;Cameroon;Sub-Saharan Africa;Lower middle income
2007;16,3;Cameroon;Sub-Saharan Africa;Lower middle income
2008;14,5;Cameroon;Sub-Saharan Africa;Lower middle income
2009;13;Cameroon;Sub-Saharan Africa;Lower middle income
2010;11,6;Cameroon;Sub-Saharan Africa;Lower middle income
2011;10,2;Cameroon;Sub-Saharan Africa;Lower middle income
2012;9,1;Cameroon;Sub-Saharan Africa;Lower middle income
2013;8,3;Cameroon;Sub-Saharan Africa;Lower middle income
2014;7,9;Cameroon;Sub-Saharan Africa;Lower middle income
2015;7,9;Cameroon;Sub-Saharan Africa;Lower middle income
2000;2,5;Canada;North America;High income
2001;2,5;Canada;North America;High income
2002;2,5;Canada;North America;High income
2003;2,5;Canada;North America;High income
2004;2,5;Canada;North America;High income
2005;2,5;Canada;North America;High income
2006;2,5;Canada;North America;High income
2007;2,5;Canada;North America;High income
2008;2,5;Canada;North America;High income
2009;2,5;Canada;North America;High income
2010;2,5;Canada;North America;High income
2011;2,5;Canada;North America;High income
2012;2,5;Canada;North America;High income
2013;2,5;Canada;North America;High income
2014;2,5;Canada;North America;High income
2015;2,5;Canada;North America;High income
2000;42,6;Central African Republic;Sub-Saharan Africa;Low income
2001;42;Central African Republic;Sub-Saharan Africa;Low income
2002;41,6;Central African Republic;Sub-Saharan Africa;Low income
2003;41,6;Central African Republic;Sub-Saharan Africa;Low income
2004;41,1;Central African Republic;Sub-Saharan Africa;Low income
2005;39,9;Central African Republic;Sub-Saharan Africa;Low income
2006;38,3;Central African Republic;Sub-Saharan Africa;Low income
2007;36,4;Central African Republic;Sub-Saharan Africa;Low income
2008;34,7;Central African Republic;Sub-Saharan Africa;Low income
2009;33,6;Central African Republic;Sub-Saharan Africa;Low income
2010;33,3;Central African Republic;Sub-Saharan Africa;Low income
2011;35,6;Central African Republic;Sub-Saharan Africa;Low income
2012;40,9;Central African Republic;Sub-Saharan Africa;Low income
2013;48,6;Central African Republic;Sub-Saharan Africa;Low income
2014;55,1;Central African Republic;Sub-Saharan Africa;Low income
2015;58,6;Central African Republic;Sub-Saharan Africa;Low income
2000;40,1;Chad;Sub-Saharan Africa;Low income
2001;39,8;Chad;Sub-Saharan Africa;Low income
2002;39,7;Chad;Sub-Saharan Africa;Low income
2003;39,1;Chad;Sub-Saharan Africa;Low income
2004;39,1;Chad;Sub-Saharan Africa;Low income
2005;39,2;Chad;Sub-Saharan Africa;Low income
2006;39,7;Chad;Sub-Saharan Africa;Low income
2007;40,3;Chad;Sub-Saharan Africa;Low income
2008;40,7;Chad;Sub-Saharan Africa;Low income
2009;40,7;Chad;Sub-Saharan Africa;Low income
2010;39,9;Chad;Sub-Saharan Africa;Low income
2011;38,9;Chad;Sub-Saharan Africa;Low income
2012;37,6;Chad;Sub-Saharan Africa;Low income
2013;36,9;Chad;Sub-Saharan Africa;Low income
2014;35,3;Chad;Sub-Saharan Africa;Low income
2015;32,5;Chad;Sub-Saharan Africa;Low income
