Year;Value;Country;Region;Income group
2009;;Andorra;Europe & Central Asia;High income
2010;;Andorra;Europe & Central Asia;High income
2011;;Andorra;Europe & Central Asia;High income
2012;;Andorra;Europe & Central Asia;High income
2013;;Andorra;Europe & Central Asia;High income
2014;;Andorra;Europe & Central Asia;High income
2015;;Andorra;Europe & Central Asia;High income
2016;;Andorra;Europe & Central Asia;High income
1980;;United Arab Emirates;Middle East & North Africa;High income
1981;;United Arab Emirates;Middle East & North Africa;High income
1982;;United Arab Emirates;Middle East & North Africa;High income
1983;;United Arab Emirates;Middle East & North Africa;High income
1984;;United Arab Emirates;Middle East & North Africa;High income
1985;;United Arab Emirates;Middle East & North Africa;High income
1986;;United Arab Emirates;Middle East & North Africa;High income
1987;;United Arab Emirates;Middle East & North Africa;High income
1988;;United Arab Emirates;Middle East & North Africa;High income
1989;;United Arab Emirates;Middle East & North Africa;High income
1990;;United Arab Emirates;Middle East & North Africa;High income
1991;;United Arab Emirates;Middle East & North Africa;High income
1992;;United Arab Emirates;Middle East & North Africa;High income
1993;;United Arab Emirates;Middle East & North Africa;High income
1994;;United Arab Emirates;Middle East & North Africa;High income
1995;;United Arab Emirates;Middle East & North Africa;High income
1996;;United Arab Emirates;Middle East & North Africa;High income
1997;;United Arab Emirates;Middle East & North Africa;High income
1998;;United Arab Emirates;Middle East & North Africa;High income
1999;;United Arab Emirates;Middle East & North Africa;High income
2000;;United Arab Emirates;Middle East & North Africa;High income
2001;;United Arab Emirates;Middle East & North Africa;High income
2002;;United Arab Emirates;Middle East & North Africa;High income
2003;;United Arab Emirates;Middle East & North Africa;High income
2004;;United Arab Emirates;Middle East & North Africa;High income
2005;;United Arab Emirates;Middle East & North Africa;High income
2006;;United Arab Emirates;Middle East & North Africa;High income
2007;;United Arab Emirates;Middle East & North Africa;High income
2008;;United Arab Emirates;Middle East & North Africa;High income
2009;;United Arab Emirates;Middle East & North Africa;High income
2010;;United Arab Emirates;Middle East & North Africa;High income
2011;;United Arab Emirates;Middle East & North Africa;High income
2012;;United Arab Emirates;Middle East & North Africa;High income
2013;;United Arab Emirates;Middle East & North Africa;High income
2014;;United Arab Emirates;Middle East & North Africa;High income
2015;;United Arab Emirates;Middle East & North Africa;High income
2016;;United Arab Emirates;Middle East & North Africa;High income
1980;0,2;Argentina;Latin America & Caribbean;High income
1981;;Argentina;Latin America & Caribbean;High income
1982;;Argentina;Latin America & Caribbean;High income
1983;;Argentina;Latin America & Caribbean;High income
1984;;Argentina;Latin America & Caribbean;High income
1985;;Argentina;Latin America & Caribbean;High income
1986;0;Argentina;Latin America & Caribbean;High income
1987;0;Argentina;Latin America & Caribbean;High income
1988;;Argentina;Latin America & Caribbean;High income
1989;;Argentina;Latin America & Caribbean;High income
1990;;Argentina;Latin America & Caribbean;High income
1991;1,1;Argentina;Latin America & Caribbean;High income
1992;2,1;Argentina;Latin America & Caribbean;High income
1993;2,4;Argentina;Latin America & Caribbean;High income
1994;2,3;Argentina;Latin America & Caribbean;High income
1995;4,1;Argentina;Latin America & Caribbean;High income
1996;4,6;Argentina;Latin America & Caribbean;High income
1997;4,1;Argentina;Latin America & Caribbean;High income
1998;4,6;Argentina;Latin America & Caribbean;High income
1999;4,8;Argentina;Latin America & Caribbean;High income
2000;5,7;Argentina;Latin America & Caribbean;High income
2001;9,4;Argentina;Latin America & Caribbean;High income
2002;14;Argentina;Latin America & Caribbean;High income
2003;7;Argentina;Latin America & Caribbean;High income
2004;5,4;Argentina;Latin America & Caribbean;High income
2005;3,9;Argentina;Latin America & Caribbean;High income
2006;3,3;Argentina;Latin America & Caribbean;High income
2007;2,9;Argentina;Latin America & Caribbean;High income
2008;2,6;Argentina;Latin America & Caribbean;High income
2009;2,6;Argentina;Latin America & Caribbean;High income
2010;1,1;Argentina;Latin America & Caribbean;High income
2011;0,9;Argentina;Latin America & Caribbean;High income
2012;0,8;Argentina;Latin America & Caribbean;High income
2013;0,8;Argentina;Latin America & Caribbean;High income
2014;0,7;Argentina;Latin America & Caribbean;High income
2015;;Argentina;Latin America & Caribbean;High income
2016;0,6;Argentina;Latin America & Caribbean;High income
1980;;Armenia;Europe & Central Asia;Upper middle income
1981;;Armenia;Europe & Central Asia;Upper middle income
1982;;Armenia;Europe & Central Asia;Upper middle income
1983;;Armenia;Europe & Central Asia;Upper middle income
1984;;Armenia;Europe & Central Asia;Upper middle income
1985;;Armenia;Europe & Central Asia;Upper middle income
1986;;Armenia;Europe & Central Asia;Upper middle income
1987;;Armenia;Europe & Central Asia;Upper middle income
1988;;Armenia;Europe & Central Asia;Upper middle income
1989;;Armenia;Europe & Central Asia;Upper middle income
1990;;Armenia;Europe & Central Asia;Upper middle income
1991;;Armenia;Europe & Central Asia;Upper middle income
1992;;Armenia;Europe & Central Asia;Upper middle income
1993;;Armenia;Europe & Central Asia;Upper middle income
1994;;Armenia;Europe & Central Asia;Upper middle income
1995;;Armenia;Europe & Central Asia;Upper middle income
1996;;Armenia;Europe & Central Asia;Upper middle income
1997;;Armenia;Europe & Central Asia;Upper middle income
1998;;Armenia;Europe & Central Asia;Upper middle income
1999;16,9;Armenia;Europe & Central Asia;Upper middle income
2000;;Armenia;Europe & Central Asia;Upper middle income
2001;19,3;Armenia;Europe & Central Asia;Upper middle income
2002;15,1;Armenia;Europe & Central Asia;Upper middle income
2003;11,4;Armenia;Europe & Central Asia;Upper middle income
2004;7,9;Armenia;Europe & Central Asia;Upper middle income
2005;4,4;Armenia;Europe & Central Asia;Upper middle income
2006;3,2;Armenia;Europe & Central Asia;Upper middle income
2007;2,8;Armenia;Europe & Central Asia;Upper middle income
2008;1,4;Armenia;Europe & Central Asia;Upper middle income
2009;1,9;Armenia;Europe & Central Asia;Upper middle income
2010;1,9;Armenia;Europe & Central Asia;Upper middle income
2011;2,2;Armenia;Europe & Central Asia;Upper middle income
2012;1,6;Armenia;Europe & Central Asia;Upper middle income
2013;2,2;Armenia;Europe & Central Asia;Upper middle income
2014;2,3;Armenia;Europe & Central Asia;Upper middle income
2015;1,9;Armenia;Europe & Central Asia;Upper middle income
2016;1,8;Armenia;Europe & Central Asia;Upper middle income
1980;;American Samoa;East Asia & Pacific;Upper middle income
1981;;American Samoa;East Asia & Pacific;Upper middle income
1982;;American Samoa;East Asia & Pacific;Upper middle income
1983;;American Samoa;East Asia & Pacific;Upper middle income
1984;;American Samoa;East Asia & Pacific;Upper middle income
1985;;American Samoa;East Asia & Pacific;Upper middle income
1986;;American Samoa;East Asia & Pacific;Upper middle income
1987;;American Samoa;East Asia & Pacific;Upper middle income
1988;;American Samoa;East Asia & Pacific;Upper middle income
1989;;American Samoa;East Asia & Pacific;Upper middle income
1990;;American Samoa;East Asia & Pacific;Upper middle income
1991;;American Samoa;East Asia & Pacific;Upper middle income
1992;;American Samoa;East Asia & Pacific;Upper middle income
1993;;American Samoa;East Asia & Pacific;Upper middle income
1994;;American Samoa;East Asia & Pacific;Upper middle income
1995;;American Samoa;East Asia & Pacific;Upper middle income
1996;;American Samoa;East Asia & Pacific;Upper middle income
1997;;American Samoa;East Asia & Pacific;Upper middle income
1998;;American Samoa;East Asia & Pacific;Upper middle income
1999;;American Samoa;East Asia & Pacific;Upper middle income
2000;;American Samoa;East Asia & Pacific;Upper middle income
2001;;American Samoa;East Asia & Pacific;Upper middle income
2002;;American Samoa;East Asia & Pacific;Upper middle income
2003;;American Samoa;East Asia & Pacific;Upper middle income
2004;;American Samoa;East Asia & Pacific;Upper middle income
2005;;American Samoa;East Asia & Pacific;Upper middle income
2006;;American Samoa;East Asia & Pacific;Upper middle income
2007;;American Samoa;East Asia & Pacific;Upper middle income
2008;;American Samoa;East Asia & Pacific;Upper middle income
2009;;American Samoa;East Asia & Pacific;Upper middle income
2010;;American Samoa;East Asia & Pacific;Upper middle income
2011;;American Samoa;East Asia & Pacific;Upper middle income
2012;;American Samoa;East Asia & Pacific;Upper middle income
2013;;American Samoa;East Asia & Pacific;Upper middle income
2014;;American Samoa;East Asia & Pacific;Upper middle income
2015;;American Samoa;East Asia & Pacific;Upper middle income
2016;;American Samoa;East Asia & Pacific;Upper middle income
1980;;Antigua and Barbuda;Latin America & Caribbean;High income
1981;;Antigua and Barbuda;Latin America & Caribbean;High income
1982;;Antigua and Barbuda;Latin America & Caribbean;High income
1983;;Antigua and Barbuda;Latin America & Caribbean;High income
1984;;Antigua and Barbuda;Latin America & Caribbean;High income
1985;;Antigua and Barbuda;Latin America & Caribbean;High income
1986;;Antigua and Barbuda;Latin America & Caribbean;High income
1987;;Antigua and Barbuda;Latin America & Caribbean;High income
1988;;Antigua and Barbuda;Latin America & Caribbean;High income
1989;;Antigua and Barbuda;Latin America & Caribbean;High income
1990;;Antigua and Barbuda;Latin America & Caribbean;High income
1991;;Antigua and Barbuda;Latin America & Caribbean;High income
1992;;Antigua and Barbuda;Latin America & Caribbean;High income
1993;;Antigua and Barbuda;Latin America & Caribbean;High income
1994;;Antigua and Barbuda;Latin America & Caribbean;High income
1995;;Antigua and Barbuda;Latin America & Caribbean;High income
1996;;Antigua and Barbuda;Latin America & Caribbean;High income
1997;;Antigua and Barbuda;Latin America & Caribbean;High income
1998;;Antigua and Barbuda;Latin America & Caribbean;High income
1999;;Antigua and Barbuda;Latin America & Caribbean;High income
2000;;Antigua and Barbuda;Latin America & Caribbean;High income
2001;;Antigua and Barbuda;Latin America & Caribbean;High income
2002;;Antigua and Barbuda;Latin America & Caribbean;High income
2003;;Antigua and Barbuda;Latin America & Caribbean;High income
2004;;Antigua and Barbuda;Latin America & Caribbean;High income
2005;;Antigua and Barbuda;Latin America & Caribbean;High income
2006;;Antigua and Barbuda;Latin America & Caribbean;High income
2007;;Antigua and Barbuda;Latin America & Caribbean;High income
2008;;Antigua and Barbuda;Latin America & Caribbean;High income
2009;;Antigua and Barbuda;Latin America & Caribbean;High income
2010;;Antigua and Barbuda;Latin America & Caribbean;High income
2011;;Antigua and Barbuda;Latin America & Caribbean;High income
2012;;Antigua and Barbuda;Latin America & Caribbean;High income
2013;;Antigua and Barbuda;Latin America & Caribbean;High income
2014;;Antigua and Barbuda;Latin America & Caribbean;High income
2015;;Antigua and Barbuda;Latin America & Caribbean;High income
2016;;Antigua and Barbuda;Latin America & Caribbean;High income
1980;;Australia;East Asia & Pacific;High income
1981;1;Australia;East Asia & Pacific;High income
1982;;Australia;East Asia & Pacific;High income
1983;;Australia;East Asia & Pacific;High income
1984;;Australia;East Asia & Pacific;High income
1985;1;Australia;East Asia & Pacific;High income
1986;;Australia;East Asia & Pacific;High income
1987;;Australia;East Asia & Pacific;High income
1988;;Australia;East Asia & Pacific;High income
1989;0,7;Australia;East Asia & Pacific;High income
1990;;Australia;East Asia & Pacific;High income
1991;;Australia;East Asia & Pacific;High income
1992;;Australia;East Asia & Pacific;High income
1993;;Australia;East Asia & Pacific;High income
1994;;Australia;East Asia & Pacific;High income
1995;1;Australia;East Asia & Pacific;High income
1996;;Australia;East Asia & Pacific;High income
1997;;Australia;East Asia & Pacific;High income
1998;;Australia;East Asia & Pacific;High income
1999;;Australia;East Asia & Pacific;High income
2000;;Australia;East Asia & Pacific;High income
2001;0,7;Australia;East Asia & Pacific;High income
2002;;Australia;East Asia & Pacific;High income
2003;1;Australia;East Asia & Pacific;High income
2004;;Australia;East Asia & Pacific;High income
2005;;Australia;East Asia & Pacific;High income
2006;;Australia;East Asia & Pacific;High income
2007;;Australia;East Asia & Pacific;High income
2008;0,4;Australia;East Asia & Pacific;High income
2009;;Australia;East Asia & Pacific;High income
2010;0,3;Australia;East Asia & Pacific;High income
2011;;Australia;East Asia & Pacific;High income
2012;;Australia;East Asia & Pacific;High income
2013;;Australia;East Asia & Pacific;High income
2014;;Australia;East Asia & Pacific;High income
2015;;Australia;East Asia & Pacific;High income
2016;;Australia;East Asia & Pacific;High income
1980;;Austria;Europe & Central Asia;High income
1981;;Austria;Europe & Central Asia;High income
1982;;Austria;Europe & Central Asia;High income
1983;;Austria;Europe & Central Asia;High income
1984;;Austria;Europe & Central Asia;High income
1985;;Austria;Europe & Central Asia;High income
1986;;Austria;Europe & Central Asia;High income
1987;;Austria;Europe & Central Asia;High income
1988;;Austria;Europe & Central Asia;High income
1989;;Austria;Europe & Central Asia;High income
1990;;Austria;Europe & Central Asia;High income
1991;;Austria;Europe & Central Asia;High income
1992;;Austria;Europe & Central Asia;High income
1993;;Austria;Europe & Central Asia;High income
1994;;Austria;Europe & Central Asia;High income
1995;;Austria;Europe & Central Asia;High income
1996;;Austria;Europe & Central Asia;High income
1997;;Austria;Europe & Central Asia;High income
1998;;Austria;Europe & Central Asia;High income
1999;;Austria;Europe & Central Asia;High income
2000;;Austria;Europe & Central Asia;High income
2001;;Austria;Europe & Central Asia;High income
2002;;Austria;Europe & Central Asia;High income
2003;0,2;Austria;Europe & Central Asia;High income
2004;0;Austria;Europe & Central Asia;High income
2005;0,2;Austria;Europe & Central Asia;High income
2006;0;Austria;Europe & Central Asia;High income
2007;0,5;Austria;Europe & Central Asia;High income
2008;0,5;Austria;Europe & Central Asia;High income
2009;0,5;Austria;Europe & Central Asia;High income
2010;0,5;Austria;Europe & Central Asia;High income
2011;0,5;Austria;Europe & Central Asia;High income
2012;0,5;Austria;Europe & Central Asia;High income
2013;0,2;Austria;Europe & Central Asia;High income
2014;0,2;Austria;Europe & Central Asia;High income
2015;0,7;Austria;Europe & Central Asia;High income
2016;;Austria;Europe & Central Asia;High income
1980;;Azerbaijan;Europe & Central Asia;Upper middle income
1981;;Azerbaijan;Europe & Central Asia;Upper middle income
1982;;Azerbaijan;Europe & Central Asia;Upper middle income
1983;;Azerbaijan;Europe & Central Asia;Upper middle income
1984;;Azerbaijan;Europe & Central Asia;Upper middle income
1985;;Azerbaijan;Europe & Central Asia;Upper middle income
1986;;Azerbaijan;Europe & Central Asia;Upper middle income
1987;;Azerbaijan;Europe & Central Asia;Upper middle income
1988;;Azerbaijan;Europe & Central Asia;Upper middle income
1989;;Azerbaijan;Europe & Central Asia;Upper middle income
1990;;Azerbaijan;Europe & Central Asia;Upper middle income
1991;;Azerbaijan;Europe & Central Asia;Upper middle income
1992;;Azerbaijan;Europe & Central Asia;Upper middle income
1993;;Azerbaijan;Europe & Central Asia;Upper middle income
1994;;Azerbaijan;Europe & Central Asia;Upper middle income
1995;7,3;Azerbaijan;Europe & Central Asia;Upper middle income
1996;;Azerbaijan;Europe & Central Asia;Upper middle income
1997;;Azerbaijan;Europe & Central Asia;Upper middle income
1998;;Azerbaijan;Europe & Central Asia;Upper middle income
1999;;Azerbaijan;Europe & Central Asia;Upper middle income
2000;;Azerbaijan;Europe & Central Asia;Upper middle income
2001;2,7;Azerbaijan;Europe & Central Asia;Upper middle income
2002;0;Azerbaijan;Europe & Central Asia;Upper middle income
2003;0;Azerbaijan;Europe & Central Asia;Upper middle income
2004;0;Azerbaijan;Europe & Central Asia;Upper middle income
2005;0;Azerbaijan;Europe & Central Asia;Upper middle income
2006;;Azerbaijan;Europe & Central Asia;Upper middle income
2007;;Azerbaijan;Europe & Central Asia;Upper middle income
2008;;Azerbaijan;Europe & Central Asia;Upper middle income
2009;;Azerbaijan;Europe & Central Asia;Upper middle income
2010;;Azerbaijan;Europe & Central Asia;Upper middle income
2011;;Azerbaijan;Europe & Central Asia;Upper middle income
2012;;Azerbaijan;Europe & Central Asia;Upper middle income
2013;;Azerbaijan;Europe & Central Asia;Upper middle income
2014;;Azerbaijan;Europe & Central Asia;Upper middle income
2015;;Azerbaijan;Europe & Central Asia;Upper middle income
2016;;Azerbaijan;Europe & Central Asia;Upper middle income
1980;;Burundi;Sub-Saharan Africa;Low income
1981;;Burundi;Sub-Saharan Africa;Low income
1982;;Burundi;Sub-Saharan Africa;Low income
1983;;Burundi;Sub-Saharan Africa;Low income
1984;;Burundi;Sub-Saharan Africa;Low income
1985;;Burundi;Sub-Saharan Africa;Low income
1986;;Burundi;Sub-Saharan Africa;Low income
1987;;Burundi;Sub-Saharan Africa;Low income
1988;;Burundi;Sub-Saharan Africa;Low income
1989;;Burundi;Sub-Saharan Africa;Low income
1990;;Burundi;Sub-Saharan Africa;Low income
1991;;Burundi;Sub-Saharan Africa;Low income
1992;81,1;Burundi;Sub-Saharan Africa;Low income
1993;;Burundi;Sub-Saharan Africa;Low income
1994;;Burundi;Sub-Saharan Africa;Low income
1995;;Burundi;Sub-Saharan Africa;Low income
1996;;Burundi;Sub-Saharan Africa;Low income
1997;;Burundi;Sub-Saharan Africa;Low income
1998;84,1;Burundi;Sub-Saharan Africa;Low income
1999;;Burundi;Sub-Saharan Africa;Low income
2000;;Burundi;Sub-Saharan Africa;Low income
2001;;Burundi;Sub-Saharan Africa;Low income
2002;;Burundi;Sub-Saharan Africa;Low income
2003;;Burundi;Sub-Saharan Africa;Low income
2004;;Burundi;Sub-Saharan Africa;Low income
2005;;Burundi;Sub-Saharan Africa;Low income
2006;77,7;Burundi;Sub-Saharan Africa;Low income
2007;;Burundi;Sub-Saharan Africa;Low income
2008;;Burundi;Sub-Saharan Africa;Low income
2009;;Burundi;Sub-Saharan Africa;Low income
2010;;Burundi;Sub-Saharan Africa;Low income
2011;;Burundi;Sub-Saharan Africa;Low income
2012;;Burundi;Sub-Saharan Africa;Low income
2013;71,7;Burundi;Sub-Saharan Africa;Low income
2014;;Burundi;Sub-Saharan Africa;Low income
2015;;Burundi;Sub-Saharan Africa;Low income
2016;;Burundi;Sub-Saharan Africa;Low income
1980;;Belgium;Europe & Central Asia;High income
1981;;Belgium;Europe & Central Asia;High income
1982;;Belgium;Europe & Central Asia;High income
1983;;Belgium;Europe & Central Asia;High income
1984;;Belgium;Europe & Central Asia;High income
1985;;Belgium;Europe & Central Asia;High income
1986;;Belgium;Europe & Central Asia;High income
1987;;Belgium;Europe & Central Asia;High income
1988;;Belgium;Europe & Central Asia;High income
1989;;Belgium;Europe & Central Asia;High income
1990;;Belgium;Europe & Central Asia;High income
1991;;Belgium;Europe & Central Asia;High income
1992;;Belgium;Europe & Central Asia;High income
1993;;Belgium;Europe & Central Asia;High income
1994;;Belgium;Europe & Central Asia;High income
1995;;Belgium;Europe & Central Asia;High income
1996;;Belgium;Europe & Central Asia;High income
1997;;Belgium;Europe & Central Asia;High income
1998;;Belgium;Europe & Central Asia;High income
1999;;Belgium;Europe & Central Asia;High income
2000;;Belgium;Europe & Central Asia;High income
2001;;Belgium;Europe & Central Asia;High income
2002;;Belgium;Europe & Central Asia;High income
2003;0,2;Belgium;Europe & Central Asia;High income
2004;0;Belgium;Europe & Central Asia;High income
2005;0,2;Belgium;Europe & Central Asia;High income
2006;0,2;Belgium;Europe & Central Asia;High income
2007;0,2;Belgium;Europe & Central Asia;High income
2008;0;Belgium;Europe & Central Asia;High income
2009;0;Belgium;Europe & Central Asia;High income
2010;0,2;Belgium;Europe & Central Asia;High income
2011;0,2;Belgium;Europe & Central Asia;High income
2012;0,2;Belgium;Europe & Central Asia;High income
2013;0,2;Belgium;Europe & Central Asia;High income
2014;0;Belgium;Europe & Central Asia;High income
2015;0;Belgium;Europe & Central Asia;High income
2016;;Belgium;Europe & Central Asia;High income
1980;;Benin;Sub-Saharan Africa;Low income
1981;;Benin;Sub-Saharan Africa;Low income
1982;;Benin;Sub-Saharan Africa;Low income
1983;;Benin;Sub-Saharan Africa;Low income
1984;;Benin;Sub-Saharan Africa;Low income
1985;;Benin;Sub-Saharan Africa;Low income
1986;;Benin;Sub-Saharan Africa;Low income
